project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	152a2105-2b04-408f-aaaa-3f6eaf58f845	TCGA-DJ-A3V8-01A	1335225600.0	false	cc45e816-53fc-4a4d-bda9-f63bd361d876	11	released	TCGA-DJ-A3V8-01A-11	30.0
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	1579473a-cfaa-47bf-8c1d-c3e1ace2b6b6	TCGA-DJ-A3V8-01Z	'--	'--	0dd49c8d-c97f-5d70-b9bb-318fa75b92e3	'--	'--	'--	'--
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	719e0f6e-725c-4606-8110-93b7893270e2	TCGA-DJ-A3V8-10A	1334534400.0	false	8365fe27-12b1-4fa8-af82-1e5220bda183	01	released	TCGA-DJ-A3V8-10A-01	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	6961dfa4-a986-4ed0-96dd-675177a4fee2	TCGA-EL-A3T8-01A	1367971200.0	false	1e4d56e3-494a-424b-bc0c-3cc01cda7e7c	11	released	TCGA-EL-A3T8-01A-11-A301-20	20.0
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	6961dfa4-a986-4ed0-96dd-675177a4fee2	TCGA-EL-A3T8-01A	1334275200.0	false	60484bea-1021-4cd4-99c2-591abe97c053	21	released	TCGA-EL-A3T8-01A-21	30.0
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	6961dfa4-a986-4ed0-96dd-675177a4fee2	TCGA-EL-A3T8-01A	'--	'--	aeb092cc-63c8-4fba-a6af-9113dbaee171	'--	released	TCGA-EL-A3T8-01A-11	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	a29ceeca-6198-4d69-afd2-252f76f2a21d	TCGA-EL-A3T8-11A	1334275200.0	false	f4c6bdfc-b70f-42cb-90a2-ef4d201ff8e8	11	released	TCGA-EL-A3T8-11A-11	30.0
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	f0a15f7d-a14f-484a-a87c-43f00c8833cc	TCGA-EL-A3T8-01Z	'--	'--	89fe6363-cc1d-5e1c-b541-de208374dfcd	'--	'--	'--	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	674eecbd-3072-449b-aff8-73e04feb9258	TCGA-DJ-A3VL-01Z	'--	'--	18301297-3dd0-59e2-8f48-061f3e8f4afc	'--	'--	'--	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	a7e41e35-7638-4e48-8af7-63b701f873f5	TCGA-DJ-A3VL-10A	1334534400.0	false	2c32cf54-f813-40c4-a673-fd67ef5f5053	01	released	TCGA-DJ-A3VL-10A-01	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	dfe93ac9-2320-42ac-a308-384a04c0ec6d	TCGA-DJ-A3VL-01A	1335225600.0	false	65f946cc-ed6b-4d56-b1af-615a785dccc3	11	released	TCGA-DJ-A3VL-01A-11	30.0
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	0fd128aa-e2d7-4aa4-ae28-a6445806d381	TCGA-ET-A40Q-01Z	'--	'--	3e469c9c-9b19-51d4-aee0-f982d1b6e134	'--	'--	'--	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	1cff1634-ad89-4fef-bbbc-13e4cd7ccdd2	TCGA-ET-A40Q-10A	1342137600.0	false	6cec58d6-9bc9-4c65-a854-16aeb034bdcf	01	released	TCGA-ET-A40Q-10A-01	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	6c92a78f-ec4c-4ae6-849a-7abdd976bbad	TCGA-ET-A40Q-01A	1367971200.0	false	31b23c13-c03a-479e-849b-d65c42015e05	21	released	TCGA-ET-A40Q-01A-21-A301-20	20.0
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	6c92a78f-ec4c-4ae6-849a-7abdd976bbad	TCGA-ET-A40Q-01A	1342656000.0	false	6453cd7e-f25a-47d6-9b1b-639958a54d91	11	released	TCGA-ET-A40Q-01A-11	30.0
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	6c92a78f-ec4c-4ae6-849a-7abdd976bbad	TCGA-ET-A40Q-01A	'--	'--	8a6c2147-83cc-493c-b304-bb50a46d0329	'--	released	TCGA-ET-A40Q-01A-21	'--
TCGA-THCA	ca625067-1c6d-45c7-b752-af40c8327ea5	TCGA-EM-A4G1	828e8520-a3ab-4f78-a393-bbaaa42ee7f6	TCGA-EM-A4G1-01Z	'--	'--	70937145-f6d6-5e95-b29a-51b28c9711dc	'--	'--	'--	'--
